USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
CA	06001	01675839	Alameda County	1909614756	216907015	737.306	83.748	37.647139	-121.912488                                                                                                              
CA	06003	01675840	Alpine County	1912292608	12557304	738.34	4.848	38.621783	-119.798352                                                                                                                  
CA	06005	01675841	Amador County	1539933596	29470567	594.572	11.379	38.44355	-120.653856                                                                                                                 
CA	06007	01675842	Butte County	4238488156	105261063	1636.489	40.642	39.665959	-121.601919                                                                                                               
CA	06009	01675885	Calaveras County	2641784992	43841871	1019.999	16.927	38.1839	-120.561441                                                                                                              
CA	06011	01675902	Colusa County	2980332742	14608887	1150.713	5.641	39.177739	-122.237563                                                                                                                
CA	06013	01675903	Contra Costa County	1857229826	225285866	717.08	86.983	37.919479	-121.951543                                                                                                          
CA	06015	01682074	Del Norte County	2606117982	578742642	1006.228	223.454	41.763958	-124.003614                                                                                                          
CA	06017	00277273	El Dorado County	4423299441	203342316	1707.846	78.511	38.785612	-120.534225                                                                                                           
CA	06019	00277274	Fresno County	15432139300	136609898	5958.383	52.745	36.761006	-119.655019                                                                                                             
CA	06021	00277275	Glenn County	3403160291	33693350	1313.968	13.009	39.602546	-122.4017                                                                                                                  
CA	06023	01681908	Humboldt County	9241426488	1253864712	3568.135	484.12	40.706655	-123.926176                                                                                                           
CA	06025	00277277	Imperial County	10814594615	790217372	4175.539	305.105	33.040814	-115.3554                                                                                                            
CA	06027	01804637	Inyo County	26410680788	76915743	10197.221	29.697	36.561977	-117.403927                                                                                                               
CA	06029	02054176	Kern County	21062540828	78680980	8132.293	30.379	35.346629	-118.729506                                                                                                                
CA	06031	00277280	Kings County	3600883803	3162664	1390.309	1.221	36.072478	-119.81553                                                                                                                   
CA	06033	00277281	Lake County	3254349190	188851723	1256.511	72.916	39.094802	-122.746757                                                                                                                
CA	06035	01693324	Lassen County	11761615584	463426056	4541.185	178.93	40.721086	-120.629952                                                                                                             
CA	06037	00277283	Los Angeles County	10511861492	1793485467	4058.653	692.469	34.196398	-118.261862                                                                                                      
CA	06039	00277284	Madera County	5534617472	42245931	2136.928	16.311	37.209821	-119.749802                                                                                                               
CA	06041	00277285	Marin County	1347950152	797055812	520.446	307.745	38.051817	-122.745974                                                                                                               
CA	06043	00277286	Mariposa County	3752472150	36225644	1448.838	13.987	37.57003	-119.912861                                                                                                              
CA	06045	00277287	Mendocino County	9081426663	962946206	3506.359	371.796	39.432388	-123.442881                                                                                                          
CA	06047	00277288	Merced County	5014506620	110178168	1936.112	42.54	37.194806	-120.722802                                                                                                               
CA	06049	00277289	Modoc County	10225096402	661284408	3947.932	255.323	41.592918	-120.71837                                                                                                              
CA	06051	00277290	Mono County	7896838483	214695677	3048.987	82.894	37.915836	-118.875167                                                                                                                
CA	06053	00277291	Monterey County	8499616876	1267800137	3281.721	489.5	36.240107	-121.315572                                                                                                            
CA	06055	00277292	Napa County	1937986794	104295181	748.261	40.269	38.5071	-122.325904                                                                                                                   
CA	06057	01682927	Nevada County	2480587338	41531993	957.76	16.036	39.297508	-120.771343                                                                                                                 
CA	06059	00277294	Orange County	2053367783	401931862	792.81	155.187	33.675687	-117.777207                                                                                                               
CA	06061	00277295	Placer County	3644306246	246466620	1407.075	95.161	39.062032	-120.722718                                                                                                              
CA	06063	00277296	Plumas County	6612400910	156387636	2553.062	60.382	39.992295	-120.824371                                                                                                              
CA	06065	00277297	Riverside County	18671212657	243883196	7208.996	94.164	33.729828	-116.002239                                                                                                          
CA	06067	00277298	Sacramento County	2499983887	75425434	965.249	29.122	38.450016	-121.340441                                                                                                            
CA	06069	00277299	San Benito County	3596591082	4719300	1388.652	1.822	36.611651	-121.085811                                                                                                             
CA	06071	00277300	San Bernardino County	51975576263	96414425	20067.883	37.226	34.85722	-116.181197                                                                                                      
CA	06073	00277301	San Diego County	10904373558	817404622	4210.202	315.602	33.023604	-116.776117                                                                                                         
CA	06075	00277302	San Francisco County	121477743	479114582	46.903	184.987	37.727239	-123.032229                                                                                                         
CA	06077	00277303	San Joaquin County	3606127799	89109687	1392.334	34.405	37.934982	-121.272244                                                                                                          
CA	06079	00277304	San Luis Obispo County	8548557892	815573121	3300.617	314.895	35.385224	-120.447544                                                                                                    
CA	06081	00277305	San Mateo County	1161957020	757114175	448.634	292.323	37.414672	-122.371546                                                                                                           
CA	06083	00277306	Santa Barbara County	7084063392	2729751706	2735.172	1053.963	34.537057	-120.039973                                                                                                    
CA	06085	00277307	Santa Clara County	3343890934	33595384	1291.084	12.971	37.220695	-121.69051                                                                                                           
CA	06087	00277308	Santa Cruz County	1152794691	419743117	445.097	162.064	37.012488	-122.007205                                                                                                          
CA	06089	01682610	Shasta County	9778407493	186302040	3775.464	71.932	40.760514	-122.043556                                                                                                              
CA	06091	00277310	Sierra County	2468694583	23299110	953.168	8.996	39.576925	-120.521993                                                                                                                 
CA	06093	00277311	Siskiyou County	16261933244	179149815	6278.768	69.17	41.587986	-122.533287                                                                                                            
CA	06095	00277312	Solano County	2128488719	218671901	821.814	84.43	38.267226	-121.939594                                                                                                                
CA	06097	01657246	Sonoma County	4080764059	498182342	1575.592	192.349	38.525182	-122.92611                                                                                                              
CA	06099	00277314	Stanislaus County	3874667416	46351766	1496.018	17.897	37.562316	-121.002831                                                                                                           
CA	06101	00277315	Sutter County	1560546528	15240591	602.53	5.884	39.03619	-121.70394                                                                                                                    
CA	06103	01692767	Tehama County	7638228749	33767783	2949.137	13.038	40.126157	-122.232274                                                                                                               
CA	06105	00277317	Trinity County	8234265082	73407950	3179.268	28.343	40.647803	-123.114476                                                                                                              
CA	06107	00277318	Tulare County	12494889125	37207487	4824.304	14.366	36.228834	-118.781055                                                                                                              
CA	06109	00277319	Tuolumne County	5752029633	138772442	2220.871	53.58	38.021434	-119.964733                                                                                                             
CA	06111	00277320	Ventura County	4771987962	947345370	1842.475	365.772	34.358741	-119.133143                                                                                                            
CA	06113	00277321	Yolo County	2628144759	22878428	1014.732	8.833	38.679596	-121.902441                                                                                                                  
CA	06115	00277322	Yuba County	1636913845	31057995	632.016	11.992	39.27013	-121.344259                                                                                                                   
