County,Geo_ID,Total Area,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Totals Households,Average Household Size,Persons in Labor Force,Persons not in Labor Force,Over 25 Bachelor Degree,Over 25 No Education,Over 25 High School,Total With Cellular Data Plan,Total With Any Broadband Subscription,Total With An Internet Connection,Total Has A Computer
Alameda County,001,821.0540000000001,1643700,37.4,92574,44283,170884,572870,2.81,893607,442149,305740,27009,185092,398235,501197,502952,535962
Alpine County,003,743.188,1146,44.3,64688,29041,227,299,3.71,445,489,149,16,191,151,254,254,272
Amador County,005,605.951,37829,50.5,61198,30100,3323,14090,2.42,14576,18101,3910,202,7198,7355,11467,11645,12577
Butte County,007,1677.131,227075,37.1,48443,27537,44410,86797,2.55,104083,82599,25926,2333,27837,50528,72243,72797,78815
Calaveras County,009,1036.926,45235,52.1,58151,32494,5242,17417,2.57,18263,20292,4386,395,8497,7930,13567,13867,15073
Colusa County,011,1156.354,21464,35.1,56704,27336,2929,7113,2.99,10199,6030,1571,455,2984,4122,5499,5530,5976
Contra Costa County,013,804.063,1133247,39.4,93712,45524,102543,392277,2.86,583611,318646,203101,14147,119387,285936,353692,354641,370116
Del Norte County,015,1229.682,27424,38.6,45258,22832,5458,9799,2.48,9632,12373,1619,207,5025,5055,7523,7560,8571
El Dorado County,017,1786.357,186661,45.8,80582,40382,16537,69172,2.67,88853,64709,29222,1237,24259,41381,59285,59779,64430
Fresno County,019,6011.128000000001,978130,32.0,51261,23284,232067,304624,3.16,442178,284911,82089,25104,119176,176721,237426,238774,267065
Glenn County,021,1326.9769999999999,27897,36.6,47395,21736,5152,10017,2.75,11812,9539,1947,489,4253,5040,6988,7055,8341
Humboldt County,023,4052.255,135768,38.0,45528,26747,26957,54267,2.43,66356,45852,18017,925,18468,29924,44023,44253,48738
Imperial County,025,4480.644,180216,32.4,45834,17590,41191,44057,3.87,71089,62868,10794,4290,22158,26587,32551,32790,37309
Inyo County,027,10226.918,18085,45.7,52874,31540,1792,8083,2.16,8537,6328,2127,173,3575,4157,6293,6310,7256
Kern County,029,8162.6720000000005,883053,31.5,52479,22553,187232,267913,3.18,380151,272808,57030,16019,126736,150099,205715,206956,228712
Kings County,031,1391.53,150075,31.7,53865,21186,28084,42735,3.16,62193,51282,8784,2622,19521,21397,32974,33197,37560
Lake County,033,1329.427,64148,45.6,42475,25404,13224,25966,2.43,26160,26171,4759,525,11614,12504,18861,19016,21733
Lassen County,035,4720.115000000001,31185,36.0,56362,21897,2933,9493,2.23,9392,17347,1787,127,5086,3008,7227,7330,7990
Los Angeles County,037,4751.121999999999,10098052,36.2,64251,32469,1589956,3306109,3.00,5230394,2884764,1416842,240056,1297039,1983962,2714350,2726485,2989974
Madera County,039,2153.239,155013,33.9,52884,21394,30549,44759,3.28,63083,54108,9696,3682,20832,25684,34355,34547,39082
Marin County,041,828.191,260295,46.5,110217,69275,19341,105258,2.40,136760,76231,63261,2152,18642,74175,95274,95577,99111
Mariposa County,043,1462.825,17540,51.4,51199,29776,2435,7700,2.13,7735,7284,1997,176,3129,3119,5861,6024,6710
Mendocino County,045,3878.155,87422,42.8,49233,27395,15877,34090,2.50,41636,29429,10087,728,13769,17316,26465,26921,29268
Merced County,047,1978.652,269075,30.9,50129,21634,59660,79606,3.31,117604,80376,14395,7665,34656,49453,63434,63910,70974
Modoc County,049,4203.255,8938,47.7,45149,23235,1435,3660,2.31,3399,4030,706,96,1875,791,2539,2558,2779
Mono County,051,3131.881,14174,38.3,63018,33421,1454,4847,2.86,8626,3177,2336,17,2130,3066,4036,4071,4428
Monterey County,053,3771.2209999999995,433212,34.1,66676,28836,58699,126052,3.30,200871,130379,40485,8350,46455,74027,101887,102281,110447
Napa County,055,788.5300000000001,140530,41.1,84753,42677,11168,49032,2.78,74693,39796,22549,2171,15589,32616,42930,43118,45419
Nevada County,057,973.7959999999999,99092,50.1,63240,37145,11169,40904,2.39,46499,37730,17914,322,12056,23577,34503,34790,37429
Orange County,059,947.997,3164182,37.8,85398,39590,359503,1032373,3.02,1664072,874018,553419,52111,330927,689370,921485,926313,974586
Placer County,061,1502.236,380077,41.9,84357,41508,30293,140661,2.67,183544,121102,68639,1821,43725,93255,124285,124949,132400
Plumas County,063,2613.444,18699,52.2,53270,32710,2146,8047,2.28,8052,7933,1922,80,3212,3931,6104,6192,6778
Riverside County,065,7303.16,2383286,35.3,63948,27142,345724,718349,3.27,1106781,735810,212065,38428,367805,438518,608643,611462,657216
Sacramento County,067,994.3709999999999,1510023,36.0,63902,31311,235982,536029,2.77,741831,445040,203352,28781,198022,347974,458851,461023,499475
San Benito County,069,1390.474,59416,35.5,81977,31475,5459,17740,3.33,31159,14516,5164,1100,8432,13149,15757,15818,16658
San Bernardino County,071,20105.109,2135413,33.1,60164,23956,359080,630633,3.30,989158,639400,175216,30707,310475,348635,514950,517165,574948
San Diego County,073,4525.804,3302833,35.6,74855,36156,403190,1118980,2.87,1745186,911554,521525,41981,360270,749260,993171,995991,1051246
San Francisco County,075,231.89,870044,38.2,104552,64157,92979,359673,2.36,540964,223550,236593,19082,74607,244539,309382,310423,330605
San Joaquin County,077,1426.7389999999998,732212,34.1,61145,26145,114294,226727,3.16,334903,218838,57633,17654,112128,134135,181235,182916,201039
San Luis Obispo County,079,3615.512,281455,39.1,70699,35832,35303,105317,2.52,137399,99422,40138,2222,31861,63776,90752,91361,97444
San Mateo County,081,740.957,765935,39.6,113776,57375,53387,261969,2.89,427717,194669,157556,11603,72956,185011,234946,235722,247758
Santa Barbara County,083,3789.135,443738,33.7,71657,34229,63010,144962,2.92,227361,128019,54801,7142,42192,95159,123720,124591,132496
Santa Clara County,085,1304.0549999999998,1922200,37.0,116178,52451,149850,635525,2.97,1036023,501131,361683,29947,170023,442393,576421,578387,605466
Santa Cruz County,087,607.161,273765,37.4,78041,39001,37429,95756,2.73,144081,82182,42317,3807,24084,62238,82710,82994,87694
Shasta County,089,3847.396,179085,41.8,50905,27983,30186,70473,2.49,77237,67636,18432,956,26158,35867,55518,56019,62041
Sierra County,091,962.164,2930,55.5,48125,31972,241,1241,2.34,1311,1229,207,0,594,476,909,913,979
Siskiyou County,093,6347.938,43540,48.0,44200,28130,8374,19257,2.23,18191,17660,4730,258,7176,9964,14978,15121,16453
Solano County,095,906.2439999999999,438530,37.9,77609,33700,44427,149067,2.87,221803,129333,54826,5509,59511,103317,132179,132604,138661
Sonoma County,097,1767.941,501317,41.7,76753,39929,50714,189339,2.60,267836,144290,78692,7196,57608,122793,164929,165995,176225
Stanislaus County,099,1513.9149999999997,539301,34.0,57387,25101,86066,172682,3.09,248842,160004,39083,10219,84890,115673,142962,143603,155165
Sutter County,101,608.414,95872,35.7,56955,26070,15181,32360,2.93,43286,30333,7345,2798,13209,21117,26537,26683,28723
