Area Name ,Unemployment Rate 
Alameda County,0.095
Alpine County,0.10400000000000001
Amador County,0.08900000000000001
Butte County,0.086
Calaveras County,0.07200000000000001
Colusa County,0.10400000000000001
Contra Costa County,0.094
Del Norte County,0.09
El Dorado County,0.076
Fresno County,0.10300000000000001
Glenn County,0.077
Humboldt County,0.08199999999999999
Imperial County,0.22
Inyo County,0.07200000000000001
Kern County,0.124
Kings County,0.10099999999999999
Lake County,0.085
Lassen County,0.064
Los Angeles County,0.168
Los Angeles County,0.16399999999999998
Madera County,0.095
Marin County,0.068
Mariposa County,0.083
Mendocino County,0.085
Merced County,0.107
Modoc County,0.063
Mono County,0.113
Monterey County,0.08900000000000001
Napa County,0.08
Nevada County,0.078
Orange County,0.095
Placer County,0.07400000000000001
Plumas County,0.078
Riverside County,0.107
Sacramento County,0.099
San Benito County,0.08800000000000001
San Bernardino County,0.10300000000000001
San Diego County,0.095
San Francisco County,0.085
San Joaquin County,0.114
San Luis Obispo County,0.076
San Mateo County,0.07200000000000001
Santa Barbara County,0.076
Santa Clara County,0.07200000000000001
Santa Cruz County,0.085
Shasta County,0.079
Sierra County,0.073
Siskiyou County,0.087
Solano County,0.098
Sonoma County,0.075
Stanislaus County,0.10300000000000001
Sutter County,0.10099999999999999
Tehama County,0.084
Trinity County,0.065
Tulare County,0.12300000000000001
Tuolumne County,0.098
Ventura County,0.087
Yolo County,0.07200000000000001
Yuba County,0.10300000000000001
