county,administered_date,total_doses,cumulative_total_doses,pfizer_doses,cumulative_pfizer_doses,moderna_doses,cumulative_moderna_doses,jj_doses,cumulative_jj_doses,partially_vaccinated,total_partially_vaccinated,fully_vaccinated,cumulative_fully_vaccinated,at_least_one_dose,cumulative_at_least_one_dose,california_flag
Nevada,2020-12-16,3,3,3,3,0,0,0,0,3,3,0,0,3,3,California
Nevada,2020-12-17,6,9,6,9,0,0,0,0,6,9,0,0,6,9,California
Nevada,2020-12-18,51,60,51,60,0,0,0,0,51,60,0,0,51,60,California
Nevada,2020-12-19,55,115,55,115,0,0,0,0,55,115,0,0,55,115,California
Nevada,2020-12-20,12,127,12,127,0,0,0,0,12,127,0,0,12,127,California
Nevada,2020-12-21,69,196,69,196,0,0,0,0,69,196,0,0,69,196,California
Nevada,2020-12-22,91,287,89,285,2,2,0,0,91,287,0,0,91,287,California
Nevada,2020-12-23,234,521,202,487,32,34,0,0,234,521,0,0,234,521,California
Nevada,2020-12-24,15,536,12,499,3,37,0,0,15,536,0,0,15,536,California
Nevada,2020-12-25,2,538,2,501,0,37,0,0,2,538,0,0,2,538,California
Nevada,2020-12-26,5,543,3,504,2,39,0,0,5,543,0,0,5,543,California
Nevada,2020-12-27,88,631,88,592,0,39,0,0,88,631,0,0,88,631,California
Nevada,2020-12-28,170,801,93,685,77,116,0,0,170,801,0,0,170,801,California
Nevada,2020-12-29,100,901,75,760,25,141,0,0,100,901,0,0,100,901,California
Nevada,2020-12-30,85,986,66,826,19,160,0,0,85,986,0,0,85,986,California
Nevada,2020-12-31,39,1025,9,835,30,190,0,0,39,1025,0,0,39,1025,California
Nevada,2021-01-01,1,1026,0,835,1,191,0,0,1,1026,0,0,1,1026,California
Nevada,2021-01-02,1,1027,1,836,0,191,0,0,1,1027,0,0,1,1027,California
Nevada,2021-01-03,128,1155,126,962,2,193,0,0,128,1155,0,0,128,1155,California
Nevada,2021-01-04,71,1226,47,1009,24,217,0,0,71,1226,0,0,71,1226,California
Nevada,2021-01-05,271,1497,130,1139,141,358,0,0,270,1495,1,1,270,1496,California
Nevada,2021-01-06,93,1590,44,1183,49,407,0,0,85,1572,8,9,85,1581,California
Nevada,2021-01-07,217,1807,43,1226,174,581,0,0,209,1776,6,15,210,1791,California
Nevada,2021-01-08,220,2027,127,1353,93,674,0,0,169,1894,51,66,169,1960,California
Nevada,2021-01-09,63,2090,56,1409,7,681,0,0,15,1861,48,114,15,1975,California
Nevada,2021-01-10,17,2107,9,1418,8,689,0,0,9,1862,8,122,9,1984,California
Nevada,2021-01-11,183,2290,130,1548,53,742,0,0,56,1791,127,249,56,2040,California
Nevada,2021-01-12,605,2895,457,2005,148,890,0,0,537,2260,68,317,537,2577,California
Nevada,2021-01-13,259,3154,144,2149,115,1005,0,0,123,2248,136,453,124,2701,California
Nevada,2021-01-14,228,3382,123,2272,105,1110,0,0,210,2441,17,470,210,2911,California
Nevada,2021-01-15,392,3774,170,2442,222,1332,0,0,294,2637,98,568,294,3205,California
Nevada,2021-01-16,292,4066,13,2455,279,1611,0,0,289,2923,3,571,289,3494,California
Nevada,2021-01-17,36,4102,32,2487,4,1615,0,0,33,2953,3,574,33,3527,California
Nevada,2021-01-18,148,4250,40,2527,108,1723,0,0,138,3081,10,584,138,3665,California
Nevada,2021-01-19,231,4481,82,2609,149,1872,0,0,213,3276,18,602,213,3878,California
