county,week,week number,Face Shields (Disposable),Surgical Masks,Cloth Masks,Surgical or Examination Gowns,Examination Gloves,N-95 Respirators,Hand Sanitizers,Wipes,Other / None of the above,Cleaning Supplies,Swabs,Viral Testing Media,Pharmaceuticals,Shoe Covers,Test Kits,KN95 Respirators,Coveralls (Hospitals or EMS),Medical Equipment,Goggles,Lab Supplies,Beds/Cots,Body Bags,Lab Kit,Ventilators,Personnel,Sample Collecting Kits,Lab Platform,Bedding Accessories,Fit Testing Supplies
['Kern'],2020-06-10 to 2020-06-16,1,[1656500.0],[2282000.0],[3673500.0],[2143190.0],[1161000.0],[3658718.0],[5707127.0],[0.0],[131004.0],[0.0],[230650.0],[259700.0],[4564.0],[0.0],[155000.0],[77000.0],[0.0],[0.0],[1400.0],[0.0],[0.0],[0.0],[0.0],[0.0],[539.0],[0.0],[0.0],[0.0],[0.0]
['Mariposa'],2020-06-10 to 2020-06-16,1,[840.0],[568000.0],[0.0],[11592.0],[0.0],[1680.0],[32928.0],[0.0],[0.0],[0.0],[35000.0],[7112.0],[100800.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Merced'],2020-06-10 to 2020-06-16,1,[63480.0],[2894000.0],[19000.0],[802550.0],[2072000.0],[246960.0],[1890.0],[0.0],[100980.0],[0.0],[167700.0],[97912.0],[568.0],[7000.0],[0.0],[35280.0],[0.0],[0.0],[7000.0],[0.0],[0.0],[2800.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Mono'],2020-06-10 to 2020-06-16,1,[5900.0],[461000.0],[20500.0],[19558.0],[381500.0],[308420.0],[30622.0],[0.0],[25900.0],[84.0],[28007.0],[350.0],[0.0],[5250.0],[30800.0],[0.0],[378.0],[0.0],[7000.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Napa'],2020-06-10 to 2020-06-16,1,[78344.0],[774000.0],[612000.0],[172480.0],[660000.0],[820628.0],[1019012.0],[7000.0],[110985.0],[0.0],[44000.0],[34400.0],[84.0],[0.0],[0.0],[61740.0],[0.0],[0.0],[23800.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[36400.0],[0.0],[0.0],[0.0]
['Santa Barbara'],2020-06-10 to 2020-06-16,1,[67200.0],[2290400.0],[126560.0],[136192.0],[3046120.0],[9160480.0],[103248.0],[7056.0],[35.0],[0.0],[203000.0],[147112.0],[2289.0],[0.0],[0.0],[280000.0],[14294.0],[0.0],[21000.0],[0.0],[168.0],[0.0],[0.0],[0.0],[14.0],[0.0],[0.0],[0.0],[0.0]
['Sutter'],2020-06-10 to 2020-06-16,1,[0.0],[175000.0],[3500.0],[16240.0],[0.0],[341320.0],[469.0],[0.0],[56644.0],[0.0],[19600.0],[11200.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[700.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Modoc'],2020-06-10 to 2020-06-16,1,[9800.0],[19000.0],[2000.0],[7000.0],[210000.0],[13720.0],[2626.0],[0.0],[142836.0],[0.0],[36400.0],[35350.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Del Norte'],2020-06-10 to 2020-06-16,1,[39900.0],[1422000.0],[117500.0],[83152.0],[908400.0],[240370.0],[12686.0],[672.0],[210072.0],[0.0],[43400.0],[12600.0],[0.0],[0.0],[0.0],[0.0],[10500.0],[0.0],[3500.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[350.0],[0.0],[0.0],[0.0]
['Placer'],2020-06-10 to 2020-06-16,1,[101500.0],[6272000.0],[745500.0],[517540.0],[1342000.0],[1935304.0],[407960.0],[0.0],[112.0],[0.0],[274000.0],[167384.0],[101248.0],[0.0],[0.0],[853860.0],[700.0],[0.0],[85400.0],[0.0],[0.0],[0.0],[0.0],[0.0],[77.0],[0.0],[0.0],[0.0],[0.0]
