county,week,week number,Other / None of the above,Coveralls (Hospitals or EMS),Examination Gloves,Surgical Masks,Surgical or Examination Gowns,Hand Sanitizers,Wipes,Goggles,Face Shields (Disposable),N-95 Respirators,Swabs,Pharmaceuticals,Viral Testing Media,Test Kits,Shoe Covers,Body Bags,Personnel,Cloth Masks,Sample Collecting Kits,Cleaning Supplies,Beds/Cots,KN95 Respirators,Medical Equipment,Lab Supplies,Ventilators,Lab Kit,Lab Platform,Bedding Accessories,Fit Testing Supplies
['Sacramento'],2020-11-28 to 2020-12-04,26,[912464.0],[150290.0],[158393700.0],[83761750.0],[16368760.0],[4986579.0],[1693720.0],[1223600.0],[12583824.0],[42208245.0],[4368000.0],[13937.0],[1784146.0],[1475400.0],[520100.0],[0.0],[371.0],[4783100.0],[824600.0],[2922.0],[0.0],[8574160.0],[42336.0],[37800.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Stanislaus'],2020-11-28 to 2020-12-04,26,[26460.0],[158228.0],[23073000.0],[12258000.0],[8900500.0],[1057465.0],[19656.0],[95200.0],[391952.0],[9980628.0],[1057000.0],[107450.0],[924724.0],[489840.0],[126000.0],[700.0],[525.0],[1564080.0],[394800.0],[3612.0],[0.0],[257040.0],[1555.0],[81200.0],[1190.0],[0.0],[0.0],[0.0],[0.0]
['Alameda'],2020-11-28 to 2020-12-04,26,[1323091.0],[59474.0],[41499200.0],[101697600.0],[1856608.0],[2447606.0],[4800600.0],[92400.0],[1538208.0],[15044120.0],[2938600.0],[13251.0],[2083298.0],[555800.0],[28000.0],[0.0],[75.0],[10617600.0],[120400.0],[0.0],[0.0],[437360.0],[97521.0],[305200.0],[70.0],[0.0],[0.0],[0.0],[0.0]
['Kern'],2020-11-28 to 2020-12-04,26,[137186.0],[0.0],[6333000.0],[26832400.0],[4628960.0],[6996507.0],[16800.0],[1400.0],[3072748.0],[10348485.0],[862050.0],[10997.0],[815836.0],[555440.0],[0.0],[0.0],[1400.0],[5767300.0],[0.0],[0.0],[0.0],[122640.0],[1050.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Napa'],2020-11-28 to 2020-12-04,26,[153363.0],[0.0],[27701800.0],[4445000.0],[647780.0],[1267938.0],[77000.0],[23800.0],[190876.0],[2094988.0],[126000.0],[378.0],[81592.0],[85120.0],[0.0],[0.0],[35.0],[1039780.0],[100600.0],[0.0],[0.0],[116060.0],[364.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Yolo'],2020-11-28 to 2020-12-04,26,[15901.0],[28063.0],[7713160.0],[4634000.0],[552846.0],[259847.0],[456960.0],[14700.0],[228060.0],[1685880.0],[147000.0],[259.0],[88256.0],[80640.0],[42000.0],[0.0],[99.0],[2196740.0],[21000.0],[0.0],[0.0],[334040.0],[0.0],[7056.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Madera'],2020-11-28 to 2020-12-04,26,[451528.0],[0.0],[867000.0],[3298400.0],[427000.0],[762132.0],[78400.0],[7350.0],[537236.0],[3443160.0],[385000.0],[581.0],[210812.0],[210240.0],[140000.0],[0.0],[36.0],[773500.0],[84000.0],[0.0],[0.0],[97860.0],[7070.0],[0.0],[21.0],[0.0],[0.0],[0.0],[0.0]
['San Francisco'],2020-11-28 to 2020-12-04,26,[149548.0],[18060.0],[33679120.0],[38323400.0],[400302.0],[541114.0],[412880.0],[85820.0],[1958020.0],[16380540.0],[1610935.0],[6167.0],[1069800.0],[615120.0],[0.0],[0.0],[100.0],[2068680.0],[79450.0],[6720.0],[0.0],[747880.0],[1484.0],[317800.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Monterey'],2020-11-28 to 2020-12-04,26,[182434.0],[58513.0],[17531000.0],[21358936.0],[1492490.0],[1140443.0],[1645900.0],[84000.0],[612080.0],[11493860.0],[1001000.0],[2345.0],[767053.0],[413240.0],[102200.0],[700.0],[8.0],[471800.0],[238000.0],[0.0],[0.0],[672420.0],[1508.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Humboldt'],2020-11-28 to 2020-12-04,26,[792197.0],[0.0],[9194960.0],[13095200.0],[1005200.0],[214808.0],[50400.0],[10500.0],[159936.0],[1817440.0],[701400.0],[0.0],[551236.0],[95200.0],[5250.0],[0.0],[0.0],[387940.0],[441700.0],[0.0],[1456.0],[129920.0],[31486.0],[0.0],[35.0],[0.0],[0.0],[0.0],[0.0]
['Orange'],2020-11-28 to 2020-12-04,26,[2182914.0],[11550.0],[36160880.0],[92745520.0],[8364888.0],[2764139.0],[451920.0],[1782340.0],[5210968.0],[47147618.0],[2572000.0],[49336.0],[2555148.0],[2115750.0],[282100.0],[14000.0],[124.0],[5796700.0],[1400.0],[7056.0],[16100.0],[1003240.0],[44282.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['San Joaquin'],2020-11-28 to 2020-12-04,26,[1198595.0],[310975.0],[27474760.0],[21811090.0],[3420424.0],[640738.0],[2111480.0],[374500.0],[2785972.0],[11291518.0],[806435.0],[6930.0],[413700.0],[681380.0],[576100.0],[0.0],[105.0],[1279600.0],[361200.0],[700000.0],[0.0],[1248520.0],[1400.0],[0.0],[0.0],[0.0],[0.0],[0.0],[10.0]
['Imperial'],2020-11-28 to 2020-12-04,26,[416082.0],[497567.0],[11052580.0],[26595300.0],[1328082.0],[508312.0],[99360.0],[42000.0],[641960.0],[7576380.0],[371000.0],[112126.0],[276156.0],[322160.0],[0.0],[3500.0],[952.0],[796540.0],[103200.0],[0.0],[0.0],[1161720.0],[2765.0],[0.0],[84.0],[0.0],[0.0],[0.0],[0.0]
['Kings'],2020-11-28 to 2020-12-04,26,[329910.0],[0.0],[3149720.0],[3688300.0],[702674.0],[544810.0],[14000.0],[385.0],[132692.0],[4596760.0],[204421.0],[5012.0],[172480.0],[132020.0],[7000.0],[0.0],[77.0],[1638000.0],[179200.0],[0.0],[0.0],[87640.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Solano'],2020-11-28 to 2020-12-04,26,[82306.0],[33250.0],[12898520.0],[8001400.0],[593796.0],[173796.0],[33600.0],[70700.0],[462038.0],[3203260.0],[693700.0],[3052.0],[306642.0],[272640.0],[5250.0],[0.0],[0.0],[399420.0],[0.0],[0.0],[0.0],[4200.0],[7364.0],[93800.0],[0.0],[45500.0],[0.0],[0.0],[0.0]
['Los Angeles'],2020-11-28 to 2020-12-04,26,[1573554.0],[154819.0],[232557200.0],[337763400.0],[80821062.0],[11708905.0],[6303472.0],[207550.0],[13148302.0],[257665300.0],[10406550.0],[257516.0],[7126070.0],[2968000.0],[359100.0],[2760.0],[6195.0],[18320020.0],[385000.0],[2800.0],[0.0],[1270780.0],[24771.0],[0.0],[140.0],[0.0],[0.0],[0.0],[2.0]
['Glenn'],2020-11-28 to 2020-12-04,26,[0.0],[0.0],[770000.0],[1248800.0],[19950.0],[7252.0],[0.0],[700.0],[3500.0],[1736280.0],[86000.0],[0.0],[18816.0],[13560.0],[0.0],[0.0],[0.0],[38500.0],[1750.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Santa Clara'],2020-11-28 to 2020-12-04,26,[2364243.0],[446264.0],[49996200.0],[55862050.0],[3641680.0],[1213387.0],[1898400.0],[26600.0],[12978028.0],[56668080.0],[4540200.0],[93219.0],[4494966.0],[1470160.0],[1757000.0],[0.0],[490.0],[6004040.0],[2940000.0],[168000.0],[0.0],[84560.0],[4620.0],[70000.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Santa Cruz'],2020-11-28 to 2020-12-04,26,[29890.0],[37800.0],[13353080.0],[12684000.0],[2492700.0],[744520.0],[266000.0],[34720.0],[629244.0],[7243145.0],[456400.0],[497.0],[293034.0],[188800.0],[476000.0],[0.0],[621.0],[588840.0],[164500.0],[5600.0],[0.0],[85820.0],[1414.0],[71652.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Nevada'],2020-11-28 to 2020-12-04,26,[22988.0],[2800.0],[1832600.0],[508200.0],[131984.0],[26390.0],[12600.0],[3500.0],[19600.0],[901000.0],[120400.0],[301.0],[83139.0],[44240.0],[0.0],[0.0],[0.0],[35000.0],[4550.0],[0.0],[0.0],[95200.0],[13300.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Butte'],2020-11-28 to 2020-12-04,26,[101703.0],[0.0],[1980720.0],[6235000.0],[283164.0],[173541.0],[35520.0],[22876.0],[83384.0],[1340204.0],[361214.0],[742.0],[256312.0],[162550.0],[0.0],[0.0],[133.0],[659400.0],[232400.0],[0.0],[0.0],[376600.0],[700.0],[0.0],[0.0],[1400.0],[0.0],[0.0],[0.0]
['Modoc'],2020-11-28 to 2020-12-04,26,[143052.0],[0.0],[392000.0],[1317400.0],[91700.0],[21924.0],[0.0],[0.0],[19600.0],[112840.0],[67400.0],[0.0],[45358.0],[41600.0],[0.0],[0.0],[35.0],[43120.0],[1750.0],[0.0],[0.0],[8820.0],[0.0],[0.0],[4.0],[0.0],[0.0],[0.0],[0.0]
['San Bernardino'],2020-11-28 to 2020-12-04,26,[31913.0],[49875.0],[23120000.0],[35405600.0],[1940394.0],[629768.0],[4800.0],[33040.0],[751732.0],[8339098.0],[511000.0],[31206.0],[319130.0],[252980.0],[5250.0],[0.0],[554.0],[4400620.0],[140000.0],[0.0],[0.0],[235900.0],[18550.0],[0.0],[420.0],[0.0],[0.0],[0.0],[0.0]
['Contra Costa'],2020-11-28 to 2020-12-04,26,[90587.0],[25200.0],[13512900.0],[14396200.0],[3928522.0],[1466988.0],[8462440.0],[35000.0],[614064.0],[15094870.0],[2354100.0],[3248.0],[1968217.0],[850610.0],[14000.0],[0.0],[315.0],[936600.0],[448700.0],[3570.0],[0.0],[1294020.0],[0.0],[0.0],[175.0],[0.0],[0.0],[0.0],[0.0]
['Lake'],2020-11-28 to 2020-12-04,26,[350.0],[0.0],[5629720.0],[4999400.0],[129102.0],[48584.0],[218520.0],[14000.0],[106500.0],[581620.0],[154700.0],[91.0],[112700.0],[81000.0],[2800.0],[0.0],[0.0],[173040.0],[0.0],[0.0],[0.0],[79380.0],[350.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['San Mateo'],2020-11-28 to 2020-12-04,26,[474754.0],[0.0],[10327800.0],[18059200.0],[7010640.0],[350476.0],[19829040.0],[66500.0],[690480.0],[2806440.0],[1666350.0],[5327.0],[1244453.0],[552780.0],[126000.0],[0.0],[90.0],[672280.0],[285600.0],[7056.0],[0.0],[274750.0],[120470.0],[211400.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Placer'],2020-11-28 to 2020-12-04,26,[11368.0],[15260.0],[8890000.0],[22775200.0],[2294990.0],[583744.0],[625600.0],[3585400.0],[478100.0],[3479944.0],[1281000.0],[101983.0],[1083824.0],[213120.0],[350000.0],[0.0],[77.0],[1144500.0],[660800.0],[0.0],[0.0],[1398880.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
