county,week,week number,Examination Gloves,Lab Supplies,Viral Testing Media,Test Kits,Swabs,Surgical or Examination Gowns,Medical Equipment,Wipes,Surgical Masks,Cloth Masks,Shoe Covers,Other / None of the above,Face Shields (Disposable),N-95 Respirators,Hand Sanitizers,Cleaning Supplies,Sample Collecting Kits,Coveralls (Hospitals or EMS),Pharmaceuticals,Goggles,Body Bags,KN95 Respirators,Ventilators,Personnel,Beds/Cots,Lab Kit,Lab Platform,Bedding Accessories,Fit Testing Supplies
['Santa Clara'],2020-12-05 to 2020-12-11,1,[51468200.0],[70000.0],[4494966.0],[1486800.0],[4540200.0],[3641680.0],[4620.0],[1898400.0],[56022050.0],[6004040.0],[1757000.0],[2365743.0],[12978028.0],[56668080.0],[1213387.0],[168000.0],[2940000.0],[446264.0],[93219.0],[26600.0],[0.0],[84560.0],[0.0],[490.0],[0.0],[0.0],[0.0],[0.0],[228.0]
['San Luis Obispo'],2020-12-05 to 2020-12-11,1,[6798400.0],[36400.0],[29400.0],[0.0],[154021.0],[114820.0],[1750.0],[44520.0],[9247000.0],[960120.0],[182000.0],[12019.0],[239960.0],[2800980.0],[262388.0],[0.0],[0.0],[3150.0],[574.0],[39200.0],[0.0],[148820.0],[0.0],[7.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Kings'],2020-12-05 to 2020-12-11,1,[3161720.0],[0.0],[172480.0],[132020.0],[204421.0],[702674.0],[0.0],[14000.0],[3702300.0],[1638000.0],[7000.0],[329910.0],[132692.0],[4598680.0],[545026.0],[0.0],[179200.0],[0.0],[5012.0],[385.0],[0.0],[87640.0],[0.0],[77.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Yuba'],2020-12-05 to 2020-12-11,1,[9051000.0],[0.0],[74172.0],[89600.0],[210014.0],[437556.0],[700.0],[0.0],[4732000.0],[241500.0],[0.0],[144844.0],[25200.0],[310240.0],[214438.0],[0.0],[35000.0],[476.0],[602.0],[0.0],[0.0],[0.0],[0.0],[47.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Shasta'],2020-12-05 to 2020-12-11,1,[967000.0],[0.0],[178416.0],[313600.0],[233100.0],[141554.0],[392.0],[6720.0],[4059300.0],[331660.0],[0.0],[40946.0],[57232.0],[451364.0],[129990.0],[0.0],[114800.0],[0.0],[231.0],[9100.0],[0.0],[0.0],[0.0],[98.0],[0.0],[0.0],[0.0],[0.0],[57.0]
['Los Angeles'],2020-12-05 to 2020-12-11,1,[247682200.0],[0.0],[7126070.0],[4531520.0],[10406550.0],[81525412.0],[24801.0],[6303472.0],[338297400.0],[18362020.0],[359100.0],[1598554.0],[13194302.0],[259145500.0],[11744185.0],[2800.0],[385000.0],[154819.0],[257516.0],[207550.0],[6440.0],[1270780.0],[140.0],[6241.0],[0.0],[0.0],[0.0],[0.0],[44.0]
['Sacramento'],2020-12-05 to 2020-12-11,1,[159096700.0],[37800.0],[1844194.0],[1519000.0],[4428000.0],[16865560.0],[42336.0],[1935920.0],[84029750.0],[4783100.0],[520100.0],[923024.0],[12707824.0],[42360405.0],[4993583.0],[3066.0],[824600.0],[160050.0],[13937.0],[1223600.0],[0.0],[8647240.0],[0.0],[423.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Trinity'],2020-12-05 to 2020-12-11,1,[1631000.0],[7000.0],[20650.0],[13440.0],[35707.0],[87178.0],[0.0],[25200.0],[483560.0],[38500.0],[0.0],[18200.0],[28560.0],[219884.0],[2492.0],[0.0],[17500.0],[126.0],[0.0],[0.0],[0.0],[8820.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Napa'],2020-12-05 to 2020-12-11,1,[27704800.0],[0.0],[81592.0],[85120.0],[126000.0],[648680.0],[364.0],[77000.0],[4451000.0],[1039780.0],[0.0],[153363.0],[191476.0],[2094988.0],[1268082.0],[0.0],[109600.0],[0.0],[378.0],[23800.0],[0.0],[116060.0],[0.0],[35.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Colusa'],2020-12-05 to 2020-12-11,1,[9639000.0],[0.0],[36624.0],[30380.0],[35000.0],[9142.0],[0.0],[0.0],[9380000.0],[262500.0],[0.0],[70007.0],[83048.0],[483980.0],[137403.0],[0.0],[350.0],[0.0],[0.0],[11200.0],[0.0],[0.0],[0.0],[14.0],[0.0],[0.0],[0.0],[0.0],[0.0]
